"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","8","1","1","2.418512","0","33"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","102","3","1","45.848991","0","545"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","159","28","1","71.677826","0","875"
"Globals","49","6228","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","7","1","1","14.684584","0","26"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","10","1","1","32.606361","0","62"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","22","3","1","32.285736","0","241"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","6","1","1","3.049086","0","22"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","6","1","1","2.797940","0","26"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","10","1","1","3.821834","0","63"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","8","1","1","4.168077","0","39"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","7","1","1","2.696003","0","28"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","33","1","1","14.800757","0","550"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","11","1","1","3.872094","0","72"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","22","1","1","20.873272","0","278"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","6","1","1","0.000000","0","26"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","34","1","1","17.593588","0","555"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","18","1","1","5.442603","0","153"
"/Engine/VREditor/TransformGizmo/Main.Main","49","6","2","1","2.998061","0","20"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","6","6","1","3.055439","0","11"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","48","8","1","21.496990","0","797"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","1","1","2.178016","0","29"
"/Game/blenderAssets/toriiGate_M.toriiGate_M","49","18","1","1","5.508638","0","183"
"/Game/blenderAssets/stoneCircle_M.stoneCircle_M","49","18","1","1","6.248540","0","188"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","63","1","1","45.148048","0","1995"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","36","1","1","12.030603","0","502"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","11","1","1","3.458230","0","64"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","63","1","1","36.115234","0","1581"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","63","1","1","0.000000","0","1629"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","8","1","1","2.684164","0","35"
"/ControlRig/M_Manip.M_Manip","49","11","1","1","3.173046","0","86"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","6","1","1","1.589371","0","23"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","60","2","2","20.331284","0","917"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","102","2","1","34.518250","0","1660"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","1","1","2.025124","0","16"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","75","7","6","25.546860","0","730"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","8","1","1","2.158607","0","25"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","159","1","1","51.426964","0","2039"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","886","2","1","273.613647","167","75935"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","35","5","1","12.297588","0","523"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","6","1","1","1.548188","0","26"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","6","1","1","1.491737","0","21"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","48","7","1","13.855166","0","898"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","7","1","1","2.747282","0","34"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","16","1","1","6.607908","0","124"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","71","1","1","41.954338","0","1954"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","49","64","2","2","24.826897","0","900"
"/Interchange/gltf/M_Unlit.M_Unlit","49","83","7","6","27.278791","0","804"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","70","1","1","29.977770","0","1450"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","102","1","1","49.873531","0","3462"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","163","8","6","66.045853","0","2302"
"/Interchange/gltf/M_Transmission.M_Transmission","49","58","2","2","76.428818","0","751"
"/Interchange/gltf/M_Sheen.M_Sheen","49","163","7","6","73.785919","0","1847"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","49","163","8","6","80.314224","0","1623"
"/Interchange/gltf/M_Default.M_Default","49","163","21","6","75.674774","0","1598"
